movie_name,total_orders
Black Coffee,1
Central Intelligence,1
kahaani 2,10197
saansein the last breath,2
ice age: collision course,15
luckkunnodu,40
Fodi Laishu Yaar,1
Kong: Skull Island,1022
colkatay columbus,6
A Last Conjuring,2
maveeran kittu,17
Phillauri,1061
zootopia,1
saithan,229
chowka,18
desierto,5
Melukote Manja,3
ti saddhya kay karte,2761
kodi,100
Split,214
The Mummy,207
haraamkhor,135
aanandam,108
Andya Cha Funda,1
Aftermath,1
oru muthassi gadha,20
10 kalpanakal,6
Ekk Albela,2
Katamarayudu,448
a monster calls,10
Kaatru Veliyidai,85
jomonte suviseshangal,53
Duvvada Jagannadham,35
majnu,1565
kaul - a calling,18
Georgettans Pooram,27
